CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / KOLAR GREENSTONE BELT,"KOLAR GOLD FIELD, DHARWAR SUPERGROUP",12.93,12.93,78.27,78.27,SAE,,,s_K3 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,65.78,0.55,,11.44,,,,6.41,5.11,3.72,0.09,,2.49,3.41,0.29,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32,,5.69,4.29,,,14.94,5.44,1.23,63.02,,,,,,69.83,738,15.65,115,6.1,,,,,,,,,,,,4.73,442,51.17,109.34,12.59,50.99,8.28,2.14,6.22,0.73,2.7,0.44,1.43,0.19,1.23,0.18,2.81,0.97,,,,,,,,,20.51,,8.68,1.81,,,,,,,,,,,,,,,,,,,,,,,,,559276
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / KOLAR GREENSTONE BELT,"KOLAR GOLD FIELD, DHARWAR SUPERGROUP",12.93,12.93,78.27,78.27,SAE,,,s_K4 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,70.43,0.41,,14.6,,,,3.1,3.48,1.54,0.03,,1.65,4.29,0.12,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,2.74,1.44,,,6.98,1.92,0.71,54.33,,,,,,49.03,418,6.74,85.9,3.9,,,,,,,,,,,,4.72,242,25.3,47.45,4.87,18.52,2.89,0.97,2.3,0.28,1,0.16,0.54,0.07,0.41,0.07,1.98,0.61,,,,,,,,,14.27,,6.15,1.92,,,,,,,,,,,,,,,,,,,,,,,,,559277
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / KUSHTAGI GREENSTONE BELT,"KILARHATTI, DHARWAR SUPERGROUP",15.8397,15.8397,76.4353,76.4353,SAE,,,s_KN44 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,73.79,0.21,,14.07,,,,2.29,3,0.59,0.02,,0.64,5.06,0.07,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,1.26,0.8,,,2.95,0.63,1.26,30.45,,,,,,25.06,163,6.23,69.41,3.95,,,,,,,,,,,,1.52,92,11.38,22.73,2.42,9.69,1.95,0.58,1.61,0.24,1.02,0.16,0.49,0.07,0.45,0.06,0.9,0.53,,,,,,,,,15.39,,2.28,0.69,,,,,,,,,,,,,,,,,,,,,,,,,559278
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / KUSHTAGI GREENSTONE BELT,"KILARHATTI, DHARWAR SUPERGROUP",15.8397,15.8397,76.4353,76.4353,SAE,,,s_KN56 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,72.17,0.27,,15.45,,,,2.07,1.67,1.14,0.03,,1.28,5.62,0.07,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,1.67,1.23,,,2.93,0.93,1.42,40.76,,,,,,39.47,165,4.92,107.35,3.28,,,,,,,,,,,,0.67,100,14.64,26.75,2.63,9.82,1.81,0.53,1.45,0.18,0.72,0.12,0.37,0.05,0.34,0.05,2.57,0.41,,,,,,,,,14.87,,4,1.64,,,,,,,,,,,,,,,,,,,,,,,,,559279
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / KUSHTAGI GREENSTONE BELT,"KILARHATTI, DHARWAR SUPERGROUP",15.8397,15.8397,76.4353,76.4353,SAE,,,s_KN63 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,71,0.21,,15.49,,,,2.62,3.08,0.54,0.04,,2.21,4.46,0.06,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,1.76,0.95,,,2.45,0.73,0.74,26.46,,,,,,57.47,193,6.36,94.34,4.39,,,,,,,,,,,,1.11,128,14.84,27.6,2.76,9.93,1.84,0.6,1.66,0.22,0.95,0.15,0.49,0.08,0.45,0.07,2.38,0.79,,,,,,,,,14.45,,4.44,1.53,,,,,,,,,,,,,,,,,,,,,,,,,559280
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / HUTTI-MASKI GREENSTONE BELT,"HUTTI GOLD MINING AREA, DHARWAR SUPERGROUP",16.2,16.2,76.72,76.72,SAE,,,s_KN76 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,75.52,0.04,,14.92,,,,0.7,1.39,0.11,0.02,,1.28,5.94,0.02,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,0.73,1.23,,,0.57,0.61,1.45,31,,,,,,55.66,51.4,5.45,79.3,10.9,,,,,,,,,,,,1.06,154,23.59,41.44,3.75,12.28,1.87,0.49,1.62,0.19,0.82,0.13,0.44,0.06,0.41,0.05,2.52,3.62,,,,,,,,,18.51,,15.69,4.21,,,,,,,,,,,,,,,,,,,,,,,,,559281
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / HUTTI-MASKI GREENSTONE BELT,"HUTTI GOLD MINING AREA, DHARWAR SUPERGROUP",16.2,16.2,76.72,76.72,SAE,,,s_KN78 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,74.16,0.04,,15.61,,,,1.12,1.58,0.16,0.02,,2.31,4.85,0.03,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,0.48,0.6,,,0.6,0.68,1.23,27.8,,,,,,84.98,64.86,6.02,76.73,11.09,,,,,,,,,,,,1.45,211,29.46,48.46,4.22,14,2.06,0.63,1.76,0.22,0.88,0.14,0.48,0.07,0.4,0.06,2.46,2.59,,,,,,,,,15.62,,16.38,4.2,,,,,,,,,,,,,,,,,,,,,,,,,559282
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / HUTTI-MASKI GREENSTONE BELT,"HUTTI GOLD MINING AREA, DHARWAR SUPERGROUP",16.2,16.2,76.72,76.72,SAE,,,s_KN87 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,75.46,0.03,,15.2,,,,0.84,1.43,0.1,0.03,,0.94,5.84,0.03,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,0.41,0.59,,,0.67,0.93,2.21,50.82,,,,,,41.03,62.81,5.86,78.03,12.02,,,,,,,,,,,,0.94,186,22.51,38.64,3.49,11.48,1.77,0.55,1.59,0.2,0.86,0.14,0.45,0.07,0.42,0.06,2.56,3.33,,,,,,,,,16.48,,15.8,4.26,,,,,,,,,,,,,,,,,,,,,,,,,559283
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / HUTTI-MASKI GREENSTONE BELT,"HUTTI GOLD MINING AREA, DHARWAR SUPERGROUP",16.2,16.2,76.72,76.72,SAE,,,s_KN88 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,75.65,0.01,,14.92,,,,0.66,1.46,0.07,0.03,,0.97,6.14,0.02,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,1.46,0.66,,,0.67,0.77,1.06,32.98,,,,,,43,52.39,6.28,64.05,11.38,,,,,,,,,,,,0.9,138,17.22,30.35,2.9,9.69,1.86,0.54,1.61,0.3,1.02,0.22,0.51,0.15,0.46,0.14,2.46,3.14,,,,,,,,,15.28,,13.18,4.27,,,,,,,,,,,,,,,,,,,,,,,,,559284
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / HUTTI-MASKI GREENSTONE BELT,"HUTTI GOLD MINING AREA, DHARWAR SUPERGROUP",16.2,16.2,76.72,76.72,SAE,,,s_KN90 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,74.94,0.03,,15.35,,,,0.83,2.29,0.17,0.03,,2.15,4.08,0.03,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,0.93,1.2,,,0.79,1.62,1.33,23.24,,,,,,72.41,51.42,6.58,70.32,10.71,,,,,,,,,,,,1.18,144,34.13,57.42,5.17,17.09,2.72,0.62,2.31,0.28,1.09,0.17,0.54,0.08,0.45,0.06,2.35,3.11,,,,,,,,,16.44,,16.06,3.92,,,,,,,,,,,,,,,,,,,,,,,,,559285
