"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2745]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BOMBAY ISLAND","19.03","19.03","72.92","72.92","SAE","","","s_18 [2745]","ANKARAMITE [2745]","","","","CENOZOIC [2745]","","","","","VOL","","","","","WR [2745] ","45.29","2.9","","11.09","","1.66","9.65","","11.06","16.11","","","0.76","1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102734",
"[2745]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BOMBAY ISLAND","19.03","19.03","72.92","72.92","SAE","","","s_21 [2745]","ANKARAMITE [2745]","","","","CENOZOIC [2745]","","","","","VOL","","","","","WR [2745] ","43.85","3.05","","9.95","","2.8","9.63","","13.08","13.36","1.71","","0.48","1.85","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102737",
"[6799]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / TE KAWA","TE KAWA QUARRY","-37.7","-38.3","174.7","175.5","SAE","","","s_T4B [6799]","ANKARAMITE [6799]","","","","","","","","","VOL","","","","","WR [6799] ","45.98","1.07","","13.82","","6.85","4.38","","12.41","11.6","0.18","","0.57","1.66","0.12","","","","","","","","","","","","","","","","1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","","392","504","","","88","203","106","60","","","","","","12","322","22","38","1","","","","","","","","","","","","","240","6.8","16","","","2.7","0.78","","0.5","","","","","1.74","0.27","1.3","","","","","","","","","","9","","1.5","","0.512017","","","0.70438","","18.842","","15.609","","38.701","","","","","","","","","","","","","","","103868",
"[1365][1307]","OCEAN ISLAND","COMOROS / ANJOUAN (NZWANI) / DIFFERENTIATED STAGE","","-12.17","-12.17","44.41","44.41","SAE","","","s_AJ168 [1365] / s_AJ-168 [1307]","ANKARAMITE [1365]","","","","","","","","","VOL","","","","","WR [1365] ","49.12","2.27","","12.22","","2.69","8.55","8.55","10.14","9.94","0.11","","0.65","2.21","0.36","","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392","","","","291","","99","","","","","","11","330","30","139","","","","","","","","","","","","","","235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10429",
"[1365][1307]","OCEAN ISLAND","COMOROS / ANJOUAN (NZWANI) / DIFFERENTIATED STAGE","","-12.17","-12.17","44.41","44.41","SAE","","","s_AJ175 [1365] / s_AJ-175 [1307]","HAWAIITE [1365] / ANKARAMITE [1307]","","","","","","","","","VOL","","","","","WR [1365] ","48.59","2.82","","16.84","","3.29","7.03","7.03","8.75","4.58","0.19","","2.06","4.35","0.72","","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","39","","111","","","","","","46","779","34","330","","","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10440",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD5 [4843]","ANKARAMITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","44.83","3.31","","12.81","","","","11.78","11.77","9.47","0.183","","0.888","2.44","0.514","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","323","468","","","","255","102","98","18.7","","","","","15.7","606","27.6","258","58.2","","","","","","","","","","","","","256","38","86","","44","","","","","","","","","","","","","","","","","","","","","2","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","104600",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD11 [4843]","ANKARAMITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","43.71","3.25","","11.15","","","","11.86","13.23","11.28","0.182","","0.828","2.31","0.469","","","","","","","","","","","","","","","","-0.14","","","","","","","","","","","","","","","","","","","","","","","","","115","","","40","","337","621","","","","241","130","94","17.6","","","","","17.7","601","26.3","259","70.8","","","","","","","","","","","","","269","39.6","85","","42.63","8.541","2.639","7.67","","5.45","","2.37","","1.714","0.232","","","","","","","","","","","1.74","","3.7","0.77","","","","","","","","","","","","","","","","","","","","","","","","","104606",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD12 [4843]","ANKARAMITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","43.66","3.43","","12.14","","","","12.46","12.94","10.32","0.186","","0.957","1.84","0.367","","","","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","63","","","36","","351","494","","","","184","116","95","18.3","","","","","23.1","522","23.7","189","40.4","","","","","","","","","","","","","206","28","65","","33","","","","","","","","","","","","","","","","","","","","","1.4","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","104607",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD24 [4843]","ANKARAMITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","43.88","4.01","","14.9","","","","12.53","11.88","6.96","0.199","","1.117","2.43","0.487","","","","","","","","","","","","","","","","0.31","","","","","","","","","","","","","","","","","","","","","","","","","135","","","25","","386","141","","","","68","91","103","20.7","","","","","28.3","1076","29.1","265","105.4","","","","","","","","","","","","","332","68","122.2","","48.52","8.848","2.743","7.78","","5.71","","2.58","","1.94","","","","","","","","","","","","3","","5.3","","","","","","","","","","","","","","","","","","","","","","","","","","104619",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ANAGA MASSIF","28.5","28.5","-16.3","-16.3","SAE","","","s_AN13 [4843]","ANKARAMITE [4843]","4200000 [4843]","8000000 [4843]","","NEOGENE [4843]","","","","","VOL","","","","","WR [4843] ","42.43","3.63","","9.52","","","","13.18","14.6","12.38","0.19","","0.354","1.54","0.237","","","","","","","","","","","","","","","","0.33","","","","","","","","","","","","","","","","","","","","","","","","","64","","","52","","435","741","","","","226","68","79","15.9","","","","","5.6","343","17","136","29.6","","","","","","","","","","","","","235","21","54","","28","","","","","","","","","","","","","","","","","","","","","0.86","","2.1","0.5","","","","","","","","","","","","","","","","","","","","","","","","","104625",
