"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4698]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / TAPALPA","","19.9418","19.9418","-103.7658","-103.7658","SAE","","","s_TAP-12 [4698]","BASALTIC-TRACHYANDESITE [4698]","","","","","","","","","VOL","","","","","WR [4698] ","54.36","1.08","","16.43","","","","7.05","8.07","5.91","0.11","","1.53","4.46","0.48","","","","","","","","","","","","","","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","164","233","","","","131","22","97","20","","","","","24","1153","16","162","10.6","","","","","","","","","","","","","788","35","77","","","","","","","","","","","","","","","","","","","","","","","6","","4","","","","","","","","","","","","","","","","","","","","","","","","","","102066",
"[4698]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / TAPALPA","","19.858","19.858","-103.8036","-103.8036","SAE","","","s_TAP-15 [4698]","BASALTIC-TRACHYANDESITE [4698]","","","","","","","","","VOL","","","","","WR [4698] ","56.2","0.79","","16.68","","","","5.87","6.85","5.16","0.1","","2.34","4.68","0.4","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","129","177","","","","144","37","80","19","","","","","29","1308","14","203","7.1","","","","","","","","","","","","","898","23","61","","","","","","","","","","","","","","","","","","","","","","","11","","5","","","","","","","","","","","","","","","","","","","","","","","","","","102067",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_BP-5518 [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","53.05","3.23","","13.35","","","","12.07","6.7","3.58","0.18","","1.93","3.22","0.88","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","660","44","252","","","","","","","","","","","","","","758","45.9","102","12.8","12.8","11.2","3.5","9.5","","8.1","1.5","4","","3","0.41","","","","","","","","","","","","","5.17","","","","","","","","","","","","","","","","","","","","","","","","","","1027086",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_NSA-ELS-1B [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","52.59","3.11","","13.32","","","","10.46","5.88","3.42","0.17","","2.86","3.16","0.82","","","","","","","","","","","","","","","","2.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","99","957","39","327","38","","","","","","","","","","","","","1055","67.6","144","17","67.7","13.6","4.46","11.4","1.6","8.5","1.4","3.8","","3","0.42","","","","","","","","","","","","","7.1","1.6","0.512349","","","0.708259","","","","","","","","","","","","","","","","","","","","","1027095",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_NSA-ELS-3A [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","52.45","3.14","","13.51","","","","10.66","6.55","3.45","0.16","","2.48","3.17","0.81","","","","","","","","","","","","","","","","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","","","","65","1040","37","324","39","","","","","","","","","","","","","950","67.2","142","16.8","66.5","13.4","4.43","11.3","1.6","8.1","1.3","3.6","","2.9","0.39","","","","","","","","","","","","","7","1.6","0.512357","","","0.706903","","","","","","","","","","","","","","","","","","","","","1027096",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_PR-61C [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","53.55","3.46","","13.79","","","","10.76","5.92","3.48","0.17","","3.13","3.43","0.77","","","","","","","","","","","","","","","","3.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","","","","","","","","101","1120","34","314","39","","","","","","","","","","","","","1230","68","146","17","71","13.9","4.29","11.6","1.6","7.8","1.3","3.83","","2.9","0.41","","","","","","","","","","","","","7.9","1.55","","","","","","","","","","","","","","","","","","","","","","","","","1027099",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_PR-EG-01 [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","53.24","3.3","","12.42","","","","13.54","6.8","3.11","0.19","","2.23","2.91","0.66","","","","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","64","496","47","346","27","","","","","","","","","","","","","713","55.86","122","14.4","61.8","13.2","3.89","12.2","1.8","9.91","1.8","5.31","","4.3","0.64","","","","","","","","","","","","","7.01","1.5","0.512381","","","0.706937","","","","","","","","","","","","","","","","","","","","","1027102",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_PR-L-29B [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","52.9","3.34","","13.79","","","","11.81","7.22","3.66","0.19","","2.01","3.07","0.69","","","","","","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","51","711","39","300","30","","","","","","","","","","","","","697","50.9","111","13.2","57.9","12.1","3.93","10.9","1.6","8.4","1.5","4.4","","3.4","0.5","","","","","","","","","","","","","5.4","1.21","","","","","","","","","","","","","","","","","","","","","","","","","1027103",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_VR-288 [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","53.56","3.1","","13.79","","","","10.18","6.49","3.5","0.16","","2.24","3.11","0.88","","","","","","","","","","","","","","","","1.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","1150","41","280","39","","","","","","","","","","","","","997","32.8","72.9","9.22","40.7","8.7","2.72","7.3","","5.8","1.1","2.7","","1.9","0.23","","","","","","","","","","","","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","1027111",
"[20188]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE / RESENDE-ILHA GRANDE DIKE SWARM","","-22.25","-22.25","-43.75","-43.75","SAE","","","s_VR-ELS-7 [20188]","BASALTIC-TRACHYANDESITE [20188]","","","UPPER [20188]","JURASSIC [20188]","","","","","VOL","","","","","WR [20188] ","52.8","3.05","","13.37","","","","10.39","6.39","3.48","0.16","","2.47","3.14","0.83","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","66","1010","39","330","40","","","","","","","","","","","","","945","65.6","140","16.4","65.5","12.9","4.27","10.7","1.6","8.1","1.4","3.6","","2.8","0.4","","","","","","","","","","","","","6.9","1.6","","","","","","","","","","","","","","","","","","","","","","","","","1027115",
