"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[23064]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / SIBERIA_PALEOZOIC / MINUSA (MINUSINSK) TROUGH / KOSHKULAK PALEOVOLCANO","","54.5","54.5","90.5","90.5","SAE","","","s_KSHK-1/4 [23064]","BASALTIC-TRACHYANDESITE [23064]","","","UPPER [23064]","ORDOVICIAN [23064]","","","","","VOL","","","","","WR [23064] ","53.91","1.17","","16.31","","","","7.14","7.97","4.62","0.13","","2.47","2.58","0.31","","","","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","540","22","265","18","","","","","","","","","","","","","808","35","69","7.8","30","5.7","1.48","5.5","0.78","4.56","0.89","2.46","0.36","2.29","0.35","6.4","1.03","","","","","","","","","13.4","","7.6","1.88","","","","","","","","","","","","","","","","","","","","","","","","","1557579",
"[23064]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / SIBERIA_PALEOZOIC / MINUSA (MINUSINSK) TROUGH / KOSHKULAK PALEOVOLCANO","","54.5","54.5","90.5","90.5","SAE","","","s_KSHK-1/2 [23064]","BASALTIC-TRACHYANDESITE [23064]","","","UPPER [23064]","ORDOVICIAN [23064]","","","","","VOL","","","","","WR [23064] ","55.05","0.94","","17.37","","","","4.68","8.05","3.89","0.14","","2.59","3.37","0.48","","","","","","","","","","","","","","","","2.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","1194","16","210","18","","","","","","","","","","","","","1049","40","81","9","35","6.2","1.78","5.9","0.67","3.48","0.63","1.67","0.23","1.47","0.22","5","0.99","","","","","","","","","13","","6.8","1.81","","","","","","","","","","","","","","","","","","","","","","","","","1557580",
"[23064]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / SIBERIA_PALEOZOIC / KACHA-SHUMIKHA DEPRESSION / DOLGAYA GRIVA PALEOVOLCANO","","56","56","93","93","SAE","","","s_D-68 [23064]","BASALTIC-TRACHYANDESITE [23064]","","","UPPER [23064]","ORDOVICIAN [23064]","","","","","VOL","","","","","WR [23064] ","52.36","1.55","","18.2","","","","7.47","5.77","3.2","0.09","","3.05","4.4","0.99","","","","","","","","","","","","","","","","1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","1135","34","280","14","","","","","","","","","","","","","839","65","133","17.5","66","10.3","2.4","9.2","1.06","5.59","1.11","3.07","0.42","2.81","0.4","6.4","0.74","","","","","","","","","21","","7.8","2.73","","","","","","","","","","","","","","","","","","","","","","","","","1557588",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","55.9555","55.9555","158.471","158.471","SAE","","","s_ES-862 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","54.57","0.95","","17.61","","3.23","5.03","","7.77","4.3","0.16","","2.25","3.38","0.41","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.24","621.04","22.75","174.87","3.95","","","","","","","","","","","","0.61","692.97","13.73","34.69","5.05","22.61","5.28","1.61","4.59","0.7","4.29","0.87","2.35","0.35","2.35","0.36","3.11","0.23","","","","","","","","","6.49","","1.58","0.74","","","","","","","","","","","","","","","","","","","","","","","","","1559913",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.1231","56.1231","158.328","158.328","SAE","","","s_ES-1777 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","52.2","0.99","","15.88","","1.49","7.59","","9.35","5.12","0.16","","2.05","3.17","0.36","","","","","","","","","","","","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.11","697.6","19.4","74.45","2.21","","","","","","","","","","","","0.43","679.5","8.8","21.28","3.27","15.69","4","1.22","3.99","0.58","3.4","0.74","2.02","0.29","1.83","0.3","2.85","0.3","","","","","","","","","5.95","","0.93","0.65","","","","","","","","","","","","","","","","","","","","","","","","","1559914",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.1315","56.1315","158.3242","158.3242","SAE","","","s_ES-1755 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","53.75","0.93","","16.99","","1.36","6.92","","7.97","4.24","0.15","","2.13","3.53","0.35","","","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.83","647.7","20.45","81.11","2.19","","","","","","","","","","","","0.54","706.8","9.62","22.85","3.51","16.61","3.99","1.19","4.22","0.57","3.61","0.75","2.11","0.3","1.87","0.31","3.08","0.17","","","","","","","","","7.04","","1.03","0.72","0.513095","","","0.703331","","18.2342","","15.4596","","37.7869","","","","","","","","","","","","","","","1559915",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.1111","56.1111","158.2955","158.2955","SAE","","","s_ES-1742 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","52.7","0.93","","17.42","","1.28","6.55","","8.14","3.61","0.14","","1.91","3.65","0.35","","","","","","","","","","","","","","","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7","693.1","18.9","68.35","1.85","","","","","","","","","","","","0.47","665.2","8.69","20.43","3.07","14.93","3.7","1.22","4.04","0.55","3.41","0.7","1.93","0.29","1.86","0.28","2.65","0.2","","","","","","","","","5.43","","0.86","0.6","","","","","","","","","","","","","","","","","","","","","","","","","1559919",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.0644","56.0644","158.2589","158.2589","SAE","","","s_ES-1718 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","52.6","0.99","","16.7","","1.36","6.93","","8.73","4.8","0.16","","2.69","3.19","0.48","","","","","","","","","","","","","","","","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.42","640.5","18.93","99.24","2.42","","","","","","","","","","","","0.62","755.7","11.09","29.14","4.3","20.25","4.69","1.5","4.87","0.69","3.97","0.79","2.15","0.32","2.07","0.32","","0.21","","","","","","","","","7.32","","1.32","1.01","","","","","","","","","","","","","","","","","","","","","","","","","1559920",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.0694","56.0694","158.2624","158.2624","SAE","","","s_ES-1722 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","53.5","0.96","","16.6","","1.33","6.79","","8.62","4.64","0.16","","2.53","3.19","0.45","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.91","630.5","19.21","85.82","2.26","","","","","","","","","","","","0.51","724.5","10.92","28.11","4.18","19.56","4.82","1.46","4.92","0.69","4","0.83","2.17","0.34","2.06","0.33","","0.22","","","","","","","","","7.03","","1.27","1","","","","","","","","","","","","","","","","","","","","","","","","","1559921",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.0811","56.0811","158.2658","158.2658","SAE","","","s_ES-1731 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","53.1","0.98","","16.65","","1.36","6.95","","8.19","4.73","0.16","","2.6","3.42","0.45","","","","","","","","","","","","","","","","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.65","721.2","21.24","96.51","2.99","","","","","","","","","","","","0.64","746.9","11.12","27.32","4.13","19.69","4.72","1.48","4.72","0.66","3.94","0.79","2.26","0.31","2.02","0.33","3.6","0.31","","","","","","","","","7.32","","1.3","0.97","","","","","","","","","","","","","","","","","","","","","","","","","1559922",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.0311","56.0311","158.3034","158.3034","SAE","","","s_ES-1831 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","52.9","0.91","","18.51","","1.27","6.51","","9.36","3.6","0.14","","1.97","3.16","0.38","","","","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.91","739.3","18.23","69.68","1.58","","","","","","","","","","","","0.37","691.4","9.54","24.11","3.52","16.82","4.01","1.22","4.13","0.61","3.59","0.72","1.95","0.29","1.88","0.3","","0.14","","","","","","","","","6.64","","1","0.73","","","","","","","","","","","","","","","","","","","","","","","","","1559923",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.0306","56.0306","158.3039","158.3039","SAE","","","s_ES-1832 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","52.8","0.87","","18.44","","3.29","5.25","","8.7","3.54","0.15","","2.46","3.07","0.39","","","0","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.33","730.5","19.39","98.87","2.12","","","","","","","","","","","","0.81","732","10.79","27.19","4.13","19.1","4.65","1.26","4.66","0.69","3.92","0.79","2.34","0.32","2.18","0.32","2.91","0.15","","","","","","","","","6.94","","1.24","1.03","","","","","","","","","","","","","","","","","","","","","","","","","1559924",
"[23079]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / UKSICHAN","","56.0302","56.0302","158.3043","158.3043","SAE","","","s_ES-1833 [23079]","BASALTIC-TRACHYANDESITE [23079]","","","","NEOGENE [23079]","","","","","VOL","","","","","WR [23079] ","52.8","0.86","","17.89","","5.32","3.48","","9.01","4.1","0.15","","2.16","3.09","0.34","","","0","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.13","742.4","20.41","92.43","2.1","","","","","","","","","","","","0.52","792.1","10.89","26.94","4","18.64","4.67","1.23","4.8","0.71","4.32","0.84","2.43","0.33","2.32","0.34","2.82","0.15","","","","","","","","","7.76","","1.25","0.94","","","","","","","","","","","","","","","","","","","","","","","","","1559925",
"[23105]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET / ZHUONAI CINDER CONE","","35.481","35.481","91.933","91.933","SAE","","","s_12HXV33 [23105]","BASALTIC-TRACHYANDESITE [23105]","","","","CENOZOIC [23105]","","","","","VOL","","","","","WR [23105] ","49.3","0.78","","11.5","","","","6.25","10.25","10.5","0.12","","3.72","2.59","1.06","","","","","","","","","","","","","","","","2.38","","","","","","","","","","","","","","30","","","","","","","","","","","","","","19","","139","890","","","34","225","51","80","15.2","6.3","","","","158.5","2410","27.8","254","15.7","","","","","","","","1","","","","8.63","100.05","","287","32.6","124.5","20.6","4.71","12.9","1.39","6.54","1.42","2.18","0.28","1.85","0.24","0.99","0.6","3","","","","","","","","43","","24.9","4.37","","","","","","","","","","","","","","","","","","","","","","","","","1563159",
"[23105]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET / ZHUONAI CINDER CONE","","35.481","35.481","91.933","91.933","SAE","","","s_12HXV33 [23105]","BASALTIC-TRACHYANDESITE [23105]","","","","CENOZOIC [23105]","","","","","VOL","","","","","WR [23105] ","51.44","0.833","","12.23","","","","6.43","10.64","10.42","0.125","","4.06","2.7","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","","139","806","","","","186","53","79","14","","","","","164.2","2485","29.64","255","15.79","","","","","","","","","","","","8","3079","159.62","310.91","33.98","128.06","22.21","5.24","13.89","1.59","7.24","1.13","2.51","0.31","1.76","0.25","6.24","0.68","","","","","","","","","43.7","","27.13","4.42","0.512485","","","0.707065","","18.6103","","15.6567648636364","","38.9296194545455","","","","","","","","0.28279","","","","","","","1563160",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.2","33.2","85.4","85.4","SAE","","","s_13ZB41-1 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","54.39","0.98","","16.33","","","","5.14","5.69","2.47","0.15","","6.66","3.65","0.51","","","","","","","","","","","","","","","","2.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.01","","80.8","111","","","10.63","38.2","18","120","27.2","3.05","","","","246","2834","39.18","645","54.5","","","","","","","","","","","","19.39","1884","245.3","438.8","46.54","160.3","21.91","5.06","16","1.73","8.25","1.46","3.63","0.51","3.19","0.47","14.3","2.45","","","","","","","","","102","","88.2","6.62","","","","","","","","","","","","","","","","","","","","","","","","","1564153",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.2","33.2","85.4","85.4","SAE","","","s_13ZB41-2 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","52.77","1.68","","14.99","","","","6.45","8.3","3.78","0.15","","3.69","3.61","1.04","","","","","","","","","","","","","","","","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.15","","142.9","170","","","19.32","69.6","31.2","92","22","3.01","","","","48","2117","29.88","393","36.8","","","","","","","","","","","","7.61","2060","163.8","315.9","35.85","130.9","18.69","4.47","13.5","1.44","6.77","1.17","2.78","0.37","2.21","0.32","8.32","1.96","","","","","","","","","39.6","","41.6","3.8","0.512362","","","0.707829","","","","","","","","","","","","","","","","","","","","","1564154",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.2","33.2","85.4","85.4","SAE","","","s_13ZB41-3 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","52.66","1.69","","14.95","","","","6.41","7.96","3.82","0.11","","3.38","3.76","1.05","","","","","","","","","","","","","","","","2.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.69","","145","171","","","19.32","67.8","28.3","153","22.4","2.96","","","","52","2100","30.28","404","37.4","","","","","","","","","","","","8.51","2095","159.7","314.6","35.78","131.7","18.75","4.48","13.26","1.44","6.82","1.18","2.79","0.38","2.27","0.33","8.43","1.98","","","","","","","","","41.6","","41.2","2.93","0.512369","","","0.707838","","","","","","","","","","","","","","","","","","","","","1564155",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.2","33.2","85.4","85.4","SAE","","","s_13ZB41-4 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","52.45","1.73","","14.88","","","","6.81","7.86","3.85","0.1","","4.08","3.13","1.04","","","","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.05","","140.9","171","","","20.14","65.9","28.4","125","22.1","3.02","","","","60","2018","29.89","395","37.3","","","","","","","","","","","","5.21","2200","157.2","307.8","35.03","128.2","18.63","4.5","13.19","1.45","6.84","1.18","2.8","0.38","2.27","0.33","8.49","1.97","","","","","","","","","40","","40.8","4.05","","","","","","","","","","","","","","","","","","","","","","","","","1564156",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.25","33.25","85.35","85.35","SAE","","","s_13ZB42-1 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","51.98","1.68","","14.73","","","","7.05","7.92","3.88","0.1","","3.53","3.47","1.04","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.88","","144","254","","","21.05","72","34.6","117","21.9","2.81","","","","52","2075","28.84","392","36.4","","","","","","","","","","","","7.14","2072","158.1","307.5","35.05","127.9","18.24","4.39","12.96","1.4","6.59","1.13","2.66","0.35","2.17","0.31","8.39","1.95","","","","","","","","","40.5","","39.8","3.66","0.512351","","","0.707803","","","","","","","","","","","","","","","","","","","","","1564157",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.2","33.2","85.4","85.4","SAE","","","s_13ZB41-5 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","56.42","0.84","","18.78","","","","4.01","2.9","1.04","0.12","","7.65","3.41","0.25","","","","","","","","","","","","","","","","3.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32","","54.9","74","","","5.17","10.2","11.8","124","28.8","2.7","","","","278","3286","40.93","829","69.5","","","","","","","","","","","","21.79","1087","241.1","421.4","44.18","146.9","19.6","4.59","14.45","1.64","8.18","1.49","3.83","0.57","3.65","0.55","17.39","3.31","","","","","","","","","79.4","","95.4","6.88","","","","","","","","","","","","","","","","","","","","","","","","","1564158",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.3167","33.3167","85.3","85.3","SAE","","","s_13ZB43-1 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","52.31","1.7","","15","","","","6.6","7.89","3.58","0.22","","4.08","3.25","1.03","","","","","","","","","","","","","","","","2.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.79","","132.4","166","","","24.23","70.5","26.1","167","22","2.88","","","","68","2015","28.1","391","37","","","","","","","","","","","","6.32","2074","154.5","302.6","34.14","126.2","18.15","4.39","12.84","1.39","6.65","1.12","2.67","0.36","2.17","0.31","8.51","1.99","","","","","","","","","40.6","","41","4.31","","","","","","","","","","","","","","","","","","","","","","","","","1564159",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.3167","33.3167","85.3","85.3","SAE","","","s_13ZB43-2 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","53.05","1.74","","15.15","","","","6.05","7.86","3.79","0.14","","3.56","3.31","1.04","","","","","","","","","","","","","","","","2.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.32","","138","165","","","21.31","64.4","28.7","162","22.8","2.97","","","","59","2128","30.08","404","38","","","","","","","","","","","","7.62","2158","164.5","319.9","36.46","134.7","18.99","4.5","13.24","1.43","6.81","1.19","2.76","0.37","2.22","0.33","8.47","2","","","","","","","","","41.7","","41.3","3.87","0.512356","","","0.707824","","","","","","","","","","","","","","","","","","","","","1564160",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.0833","33.0833","85.3667","85.3667","SAE","","","s_13ZB47-1 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","PORPHYRITIC [23110] ","VOL","","","","","WR [23110] ","55.76","0.45","","20.64","","","","3.57","1.86","0.2","0.18","","7.58","8.1","0.05","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47","","32.9","217.2","","","2.76","17.8","24.8","151","34.8","2.11","","","","329","1479","37.59","1479","78.8","","","","","","","","","","","","24.43","318","140.8","275","30.03","99.75","14.39","3.51","10.67","1.36","7.1","1.34","3.64","0.57","3.74","0.56","25.63","3.02","","","","","","","","","139.9","","113.2","24.53","0.512351","","","0.707826","","","","","","","","","","","","","","","","","","","","","1564170",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.0833","33.0833","85.3667","85.3667","SAE","","","s_13ZB47-3 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","PORPHYRITIC [23110] ","VOL","","","","","WR [23110] ","56.64","0.8","","17.76","","","","4.42","3.39","1.04","0.16","","7.34","5.59","0.23","","","","","","","","","","","","","","","","1.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77","","57.4","216.4","","","6.16","22.6","29.1","131","28.5","2.68","","","","288","2416","39.75","889","66.4","","","","","","","","","","","","17.2","1021","222.6","394.5","41.6","138.8","18.56","4.37","13.9","1.59","7.92","1.45","3.77","0.55","3.51","0.53","17.86","3.1","","","","","","","","","92.6","","86.2","17.94","","","","","","","","","","","","","","","","","","","","","","","","","1564172",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.0833","33.0833","85.3667","85.3667","SAE","","","s_13ZB47-6 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","PORPHYRITIC [23110] ","VOL","","","","","WR [23110] ","56.54","0.84","","18.72","","","","3.83","2.92","1.05","0.12","","7.92","3.23","0.25","","","","","","","","","","","","","","","","3.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.36","","53.3","50.9","","","4.88","8.6","9.7","118","28.7","2.7","","","","285","3262","40.1","839","69.2","","","","","","","","","","","","20.86","1093","239.4","420.3","43.89","147.2","19.52","4.64","14.42","1.62","8.14","1.46","3.78","0.56","3.61","0.54","17.82","3.26","","","","","","","","","72.4","","95","6.8","0.512364","","","0.707866","","","","","","","","","","","","","","","","","","","","","1564174",
"[23110]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","GEMUCHAKA REGION","33.2","33.2","85.4","85.4","SAE","","","s_13ZB41-5 [23110]","BASALTIC-TRACHYANDESITE [23110]","","","","OLIGOCENE [23110]","","","","TRACHYTIC [23110] ","VOL","","","","","WR [23110] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512334","","","0.708379","","","","","","","","","","","","","","","","","","","","","1564613",
